dataset,encoder,tau,n_times,run,OA,KA,AA
IP,conv_sa,1,25,1,98.77,98.52,98.77
IP,conv_sa,1.3,25,1,98.83,98.59,98.83
IP,conv_sa,1.5,25,1,98.73,98.48,98.73
IP,conv_sa,1.8,25,1,98.84,98.60,98.84
IP,conv_sa,2,25,1,98.74,98.49,98.74
IP,conv_sa,1,25,2,99.32,99.19,99.32
IP,conv_sa,1.3,25,2,99.31,99.17,99.31
IP,conv_sa,1.5,25,2,99.25,99.10,99.25
IP,conv_sa,1.8,25,2,99.30,99.16,99.30
IP,conv_sa,2,25,2,99.30,99.16,99.30
IP,conv_sa,1,25,3,99.58,99.50,99.58
IP,conv_sa,1.3,25,3,99.54,99.45,99.54
IP,conv_sa,1.5,25,3,99.57,99.49,99.57
IP,conv_sa,1.8,25,3,99.54,99.44,99.54
IP,conv_sa,2,25,3,99.55,99.46,99.55
IP,conv_sa,1,25,4,99.50,99.40,99.50
IP,conv_sa,1.3,25,4,99.46,99.35,99.46
IP,conv_sa,1.5,25,4,99.45,99.34,99.45
IP,conv_sa,1.8,25,4,99.45,99.34,99.45
IP,conv_sa,2,25,4,99.44,99.33,99.44
IP,conv_sa,1,25,5,99.49,99.39,99.49
IP,conv_sa,1.3,25,5,99.47,99.37,99.47
IP,conv_sa,1.5,25,5,99.44,99.33,99.44
IP,conv_sa,1.8,25,5,99.43,99.32,99.43
IP,conv_sa,2,25,5,99.47,99.36,99.47
