IP,7,conv_sa,1.8,25,1,90.15,88.18,90.15
IP,7,conv_sa,1.8,25,2,89.94,87.93,89.94
IP,7,conv_sa,1.8,25,3,89.88,87.85,89.88
IP,9,conv_sa,1.8,25,1,87.82,85.38,87.82
IP,9,conv_sa,1.8,25,2,86.26,83.52,86.26
IP,9,conv_sa,1.8,25,3,86.98,84.37,86.98
IP,11,conv_sa,1.8,25,1,91.45,89.75,91.45
IP,11,conv_sa,1.8,25,2,86.96,84.35,86.96
IP,13,conv_sa,1.8,25,1,86.27,83.53,86.27
IP,13,conv_sa,1.8,25,2,88.98,86.77,88.98
IP,11,conv_sa,1.8,25,1,88.57,86.28,88.57
IP,11,conv_sa,1.8,25,2,89.42,87.31,89.42
IP,11,conv_sa,1.8,25,3,85.82,82.99,85.82
